"","Keyword ID","Date","Keyword","Headline","Line 1","Line 2","Impressions","Clicks","Avg_CPC","Cost","Position","actioncount","revenue","Competition","Volume","CTR","Conversion","Headline_KW_Words","Headline_KW_Count","KeywordinHeadline","KeywordinBody"
"24",9802,2006-12-26,"fox 24 ringtone","Get 24 CTU Ringtones","24 Theme, CTU Office Phone and More","Tones to Your Phone in 30 Seconds!",3,0,0,0,4,0,0,0,0,0,0,"ringtones,Ringtones,ringtone,ring,tone,ctu,24,tones",8,0.333333333333333,0.333333333333333
"25",9807,2006-12-26,"ctu ringtone for","Get 24 CTU Ringtones","Theme, CTU Office Phone, Clock Tick","Tones in 30 Seconds - It's Da Bomb!",4,1,0.79,0.79,3,0,0,0,0,0.25,0,"ringtones,Ringtones,ringtone,ring,tone,ctu,24,tones",8,0.333333333333333,0.333333333333333
"26",9809,2006-12-26,"fox 24 ringtones","24 CTU Ringtones","Theme, CTU Office Phone, Clock Tick","Tones to Your Phone in 30 Seconds!",2,1,0.57,0.57,1,0,0,0,0,0.5,0,"ringtones,Ringtones,ringtone,ring,tone,ctu,24,tones",8,0.666666666666667,0
"27",9810,2006-12-26,"24 theme ringtone","Get 24 CTU Ringtones","Theme, CTU Office Phone, Clock Tick","Tones in 30 Seconds - It's Da Bomb!",14,1,0.81,0.81,2,0,0,0,1,0.0714285714285714,0,"ringtones,Ringtones,ringtone,ring,tone,ctu,24,tones",8,0.333333333333333,0
"28",9814,2006-12-26,"24 phone ringtone","Get 24 CTU Ringtones","Theme, CTU Office Phone, Clock Tick","Tones to Your Phone in 30 Seconds!",22,2,0.505,1.01,2.41428571428571,0,0,0,1,0.0909090909090909,0,"ringtones,Ringtones,ringtone,ring,tone,ctu,24,tones",8,0.333333333333333,0
"29",9815,2006-12-26,"24 tv show ringtone","Get 24 CTU Ringtones","Theme, CTU Office Phone, Clock Tick","Tones to Your Phone in 30 Seconds!",7,2,0.69,1.38,3.26,0,0,0,0,0.285714285714286,0,"ringtones,Ringtones,ringtone,ring,tone,ctu,24,tones",8,0.25,0
"30",9823,2006-12-26,"ringtones from 24","Get 24 CTU Ringtones","Theme, CTU Office Phone, Clock Tick","Tones to Your Phone in 30 Seconds!",5,0,0,0,1.66666666666667,0,0,0,0,0,0,"ringtones,Ringtones,ringtone,ring,tone,ctu,24,tones",8,0.666666666666667,0
"31",9825,2006-12-26,"ringtones ctu","Get 24 CTU Ringtones","Theme, CTU Office Phone, Clock Tick","Tones to Your Phone in 30 Seconds!",36,7,0.598571428571429,4.19,1.2,0,0,2,1,0.194444444444444,0,"ringtones,Ringtones,ringtone,ring,tone,ctu,24,tones",8,1,0.5
"32",9826,2006-12-26,"download 24 ringtone","Get 24 CTU Ringtones","Theme, CTU Office Phone, Clock Tick","Tones to Your Phone in 30 Seconds!",9,2,0.78,1.56,1.24,0,0,0,1,0.222222222222222,0,"ringtones,Ringtones,ringtone,ring,tone,ctu,24,tones",8,0.333333333333333,0
"33",9829,2006-12-26,"ctu phone ringtone","Get 24 CTU Ringtones","Theme, CTU Office Phone, Clock Tick","Tones to Your Phone in 30 Seconds!",16,2,0.615,1.23,1.5,0,0,0,1,0.125,0,"ringtones,Ringtones,ringtone,ring,tone,ctu,24,tones",8,0.333333333333333,0.333333333333333
"34",9833,2006-12-26,"24 tv show ringtones","Get 24 CTU Ringtones","Theme, CTU Office Phone, Clock Tick","Tones to Your Phone in 30 Seconds!",76,7,0.642857142857143,4.5,1,0,0,0,2,0.0921052631578947,0,"ringtones,Ringtones,ringtone,ring,tone,ctu,24,tones",8,0.5,0
"35",9838,2006-12-26,"ringtones for 24","24 CTU Ringtones","Theme, CTU Office Phone, Clock Tick","Tones in 30 Seconds - It's Da Bomb!",2,0,0,0,3,0,0,0,0,0,0,"ringtones,Ringtones,ringtone,ring,tone,ctu,24,tones",8,0.666666666666667,0
"36",9839,2006-12-26,"ringtones 24","Get 24 CTU Ringtones","Theme, CTU Office Phone, Clock Tick","Tones to Your Phone in 30 Seconds!",298,36,0.593888888888889,21.38,2.14166666666667,0,0,2,2,0.120805369127517,0,"ringtones,Ringtones,ringtone,ring,tone,ctu,24,tones",8,1,0
"37",9848,2006-12-26,"24 ringtone verizon","Get 24 CTU Ringtones","24 Theme, CTU Office Phone and More","Tones to Your Phone in 30 Seconds!",6,3,0.746666666666667,2.24,3,0,0,0,0,0.5,0,"ringtones,Ringtones,ringtone,ring,tone,ctu,24,tones",8,0.333333333333333,0.333333333333333
"38",9850,2006-12-26,"ringtone for 24","Get 24 CTU Ringtones","Theme, CTU Office Phone, Clock Tick","Tones to Your Phone in 30 Seconds!",11,4,0.76,3.04,3.025,0,0,0,0,0.363636363636364,0,"ringtones,Ringtones,ringtone,ring,tone,ctu,24,tones",8,0.333333333333333,0
"39",9853,2006-12-26,"24 telephone ringtone","Get 24 CTU Ringtones","Theme, CTU Office Phone, Clock Tick","Tones to Your Phone in 30 Seconds!",6,2,0.675,1.35,1.9,0,0,0,0,0.333333333333333,0,"ringtones,Ringtones,ringtone,ring,tone,ctu,24,tones",8,0.333333333333333,0
"40",9860,2006-12-26,"24 ctu ringtones","Get 24 CTU Ringtones","Theme, CTU Office Phone, Clock Tick","Tones to Your Phone in 30 Seconds!",28,7,0.668571428571428,4.68,1.11111111111111,0,0,0,1,0.25,0,"ringtones,Ringtones,ringtone,ring,tone,ctu,24,tones",8,1,0.333333333333333
"41",1591,2006-12-27,"buckcherry ringtones","Get Buckcherry Ringtones","Get Buckcherry Ring Tones Now","Tones to Your Phone in 30 Seconds!",26,2,0.59,1.18,1.35,0,0,0,1,0.0769230769230769,0,"buckcherry,ringtones,Ringtones,ringtone,ring,tone,tones",7,1,0.5
"42",1600,2006-12-27,"Three 6 Mafia Ringtones","Three 6 Mafia Tones","Poppin My Collar, Stay Fly & More.","Tones to Your Phone in 30 Seconds!",25,1,0.79,0.79,1.16666666666667,0,0,0,0,0.04,0,"Three,6,Mafia,A,tone,tones",6,0.75,0
"43",1683,2006-12-27,"Carrie Underwood Ringtones","Carrie Underwood Tones","Jesus, Take The Wheel & Many More.","Tones to Your Phone in 30 Seconds!",26,2,0.755,1.51,2.6,0,0,0,1,0.0769230769230769,0,"Carrie,Underwood,A,tone,tones",5,0.666666666666667,0
"44",1689,2006-12-27,"def leppard ringtones","Def Leppard Ringtones","Pour Some Sugar On Me and Many More","Tones to Your Phone in 30 Seconds!",9,2,0.745,1.49,1,0,0,2,0,0.222222222222222,0,"ringtones,Ringtones,def,leppard,A,ringtone,ring,tone,tones",9,1,0
"45",1980,2006-12-27,"System Of A Down Ringtones","System Of A Down Tones","Hypnotize, Chop Suey, Aerials, More","Tones to Your Phone in 30 Seconds!",13,6,0.781666666666667,4.69,1.06666666666667,0,0,2,0,0.461538461538462,0,"System,Of,A,Down,tone,tones",6,0.8,0
"46",2324,2006-12-27,"theme song ringtone","TV Theme Ringtones","Get {KeyWord: Your Favorite TV Ringtones}","Tones to Your Phone in 30 Seconds!",101,14,0.671428571428571,9.4,1.8875,1,14.6,0,1,0.138613861386139,0.0714285714285714,"ringtones,Ringtones,theme,ringtone,the,ring,tone,tones,tv",9,0.333333333333333,0
"47",2627,2006-12-27,"hawaiian music ringtones","{KeyWord: Complimentary Ringtones}","Download Now - Limited Time Offer.","Tones to Your Phone in 30 Seconds!",3,2,0.545,1.09,2,0,0,0,0,0.666666666666667,0,"ringtones,Ringtones,A,ringtone,ring,tone,tones",7,0,0
"48",3039,2006-12-27,"ringtones panic at the disco","Get Panic! Ringtones","Get Panic! At The Disco Ringtones","Tones to Your Phone in 30 Seconds",3,1,0.61,0.61,1.66666666666667,0,0,0,1,0.333333333333333,0,"ringtones,Ringtones,A,ringtone,panic,ring,tone,tones",8,0.2,0.8
"49",3360,2006-12-27,"ringtones cascada","Get Cascada Ringtones","Get Everytime We Touch Ring Tone","Tones in 30 Seconds - It's Da Bomb!",19,1,0.85,0.85,3,0,0,0,0,0.0526315789473684,0,"ringtones,Ringtones,A,ringtone,cascada,ring,tone,tones",8,1,0
"50",8288,2006-12-27,"Kid Rock Ringtones","Get Kid Rock Ringtones","Picture, Cowboy, Bawitdaba & More.","Tones in 30 Seconds - It's Da Bomb!",19,7,0.745714285714286,5.22,1.15,0,0,1,0,0.368421052631579,0,"ringtones,Ringtones,ringtone,Kid,Rock,ring,tone,tones",8,1,0
"51",9409,2006-12-27,"Gospel Ringtones","{KeyWord: Inspirational Ringtones}","The Newest Christian Ringtone Club","Tones to Your Phone in 30 Seconds!",163,12,0.896666666666667,10.76,2.45,0,0,3,2,0.0736196319018405,0,"ringtones,Ringtones,A,ringtone,at,ring,tone,tones",8,0,0
"52",9708,2006-12-27,"mosquito ring tone","Stealth Mosquito Ringtone","Yeah, the one the adults can't hear","Works with all carriers. Get it Now",143,10,0.702,7.02,3.625,0,0,0,2,0.0699300699300699,0,"A,ringtone,mosquito,ring,tone",5,0.333333333333333,0
"53",9710,2006-12-27,"mosquito ringer","Stealth Mosquito Ringtone","You know you want it - we got it!","Works with all carriers. Get it Now",20,2,0.755,1.51,2.4,1,14.6,0,1,0.1,0.5,"A,ringtone,mosquito,ring,tone",5,0.5,0
"54",9722,2006-12-27,"ultrasonic ringtone","Stealth Mosquito Ringtone","You know you want it - we got it!","Works with all carriers. Get it Now",48,3,0.746666666666667,2.24,1.2,0,0,0,1,0.0625,0,"A,ringtone,mosquito,ring,tone",5,0.5,0
"55",9724,2006-12-27,"ringtones adults can't hear","Mosquito Ringtone","Yeah, the one the adults can't hear","Works with all carriers. Get it Now",11,1,0.4,0.4,1,0,0,0,0,0.0909090909090909,0,"ringtone,mosquito,ring,tone",4,0,0.75
"56",9728,2006-12-27,"ringtone adults can't hear","Stealth Mosquito Ringtone","Yeah, the one the adults can't hear","Works with all carriers. Get it Now",31,5,0.376,1.88,1.66,0,0,0,0,0.161290322580645,0,"A,ringtone,mosquito,ring,tone",5,0.25,0.75
"57",9756,2006-12-27,"family guy ringtones","Get Family Guy Ringtones","Your Favorite Family Guy Ringtones","Tones to Your Phone in 30 Seconds!",106,11,0.748181818181818,8.23,2.02222222222222,0,0,0,2,0.10377358490566,0,"ringtones,Ringtones,A,ringtone,ring,tone,family,guy,tones",9,1,1
"58",9788,2006-12-27,"ctu ringtone","Get 24 CTU Ringtones","Theme, CTU Office Phone, Clock Tick","Tones to Your Phone in 30 Seconds!",112,15,0.767333333333333,11.51,2.59090909090909,0,0,4,2,0.133928571428571,0,"ringtones,Ringtones,ringtone,ring,tone,ctu,24,tones",8,0.5,0.5
"59",9789,2006-12-27,"24 ringtone","24 CTU Ringtones","Theme, CTU Office Phone, Clock Tick","Tones in 30 Seconds - It's Da Bomb!",2,0,0,0,1,0,0,4,2,0,0,"ringtones,Ringtones,ringtone,ring,tone,ctu,24,tones",8,0.5,0
"60",9792,2006-12-27,"24 ring tones","Get 24 CTU Ringtones","Theme, CTU Office Phone, Clock Tick","Tones to Your Phone in 30 Seconds!",52,12,0.596666666666667,7.16,1.2875,0,0,3,1,0.230769230769231,0,"ringtones,Ringtones,ringtone,ring,tone,ctu,24,tones",8,0.333333333333333,0
"61",9798,2006-12-27,"24 ringer","Get 24 CTU Ringtones","Theme, CTU Office Phone, Clock Tick","Tones to Your Phone in 30 Seconds!",6,2,0.715,1.43,1.73333333333333,0,0,0,1,0.333333333333333,0,"ringtones,Ringtones,ringtone,ring,tone,ctu,24,tones",8,0.5,0
"62",9800,2006-12-27,"ctu ringer","24 CTU Ringtones","24 Theme, CTU Office Phone and More","Tones in 30 Seconds - It's Da Bomb!",6,0,0,0,2.25,0,0,0,0,0,0,"ringtones,Ringtones,ringtone,ring,tone,ctu,24,tones",8,0.5,0.5
"63",9801,2006-12-27,"24 ringers","24 CTU Ringtones","24 Theme, CTU Office Phone and More","Tones in 30 Seconds - It's Da Bomb!",4,2,0.71,1.42,2.5,0,0,0,0,0.5,0,"ringtones,Ringtones,ringtone,ring,tone,ctu,24,tones",8,0.5,0.5
"64",9802,2006-12-27,"fox 24 ringtone","24 CTU Ringtones","Theme, CTU Office Phone, Clock Tick","Tones in 30 Seconds - It's Da Bomb!",6,0,0,0,2.3,0,0,0,0,0,0,"ringtones,Ringtones,ringtone,ring,tone,ctu,24,tones",8,0.333333333333333,0
"65",9807,2006-12-27,"ctu ringtone for","24 CTU Ringtones","24 Theme, CTU Desk Phone and More","Tones in 30 Seconds - It's Da Bomb!",3,0,0,0,5,0,0,0,0,0,0,"ringtones,Ringtones,ringtone,ring,tone,ctu,24,tones",8,0.333333333333333,0.333333333333333
"66",9809,2006-12-27,"fox 24 ringtones","24 CTU Ringtones","Theme, CTU Office Phone, Clock Tick","Tones in 30 Seconds - It's Da Bomb!",2,2,0.58,1.16,1,0,0,0,0,1,0,"ringtones,Ringtones,ringtone,ring,tone,ctu,24,tones",8,0.666666666666667,0
"67",9810,2006-12-27,"24 theme ringtone","24 CTU Ringtones","Theme, CTU Office Phone, Clock Tick","Tones to Your Phone in 30 Seconds!",4,0,0,0,1,0,0,0,1,0,0,"ringtones,Ringtones,ringtone,ring,tone,ctu,24,tones",8,0.333333333333333,0
"68",9814,2006-12-27,"24 phone ringtone","Get 24 CTU Ringtones","Theme, CTU Office Phone, Clock Tick","Tones to Your Phone in 30 Seconds!",32,9,0.583333333333333,5.25,1.475,0,0,0,1,0.28125,0,"ringtones,Ringtones,ringtone,ring,tone,ctu,24,tones",8,0.333333333333333,0
"69",9815,2006-12-27,"24 tv show ringtone","Get 24 CTU Ringtones","Theme, CTU Office Phone, Clock Tick","Tones to Your Phone in 30 Seconds!",28,4,0.8,3.2,2.05714285714286,0,0,0,0,0.142857142857143,0,"ringtones,Ringtones,ringtone,ring,tone,ctu,24,tones",8,0.25,0
"70",9823,2006-12-27,"ringtones from 24","Get 24 CTU Ringtones","24 Theme, CTU Desk Phone and More","Tones to Your Phone in 30 Seconds!",3,1,0.47,0.47,1,0,0,0,0,0.333333333333333,0,"ringtones,Ringtones,ringtone,ring,tone,ctu,24,tones",8,0.666666666666667,0.333333333333333
"71",9825,2006-12-27,"ringtones ctu","Get 24 CTU Ringtones","Theme, CTU Office Phone, Clock Tick","Tones to Your Phone in 30 Seconds!",38,8,0.675,5.4,1.08888888888889,0,0,2,1,0.210526315789474,0,"ringtones,Ringtones,ringtone,ring,tone,ctu,24,tones",8,1,0.5
"72",9826,2006-12-27,"download 24 ringtone","Get 24 CTU Ringtones","Theme, CTU Office Phone, Clock Tick","Tones to Your Phone in 30 Seconds!",27,3,0.7,2.1,1.03333333333333,0,0,0,1,0.111111111111111,0,"ringtones,Ringtones,ringtone,ring,tone,ctu,24,tones",8,0.333333333333333,0
"73",9829,2006-12-27,"ctu phone ringtone","Get 24 CTU Ringtones","Theme, CTU Office Phone, Clock Tick","Tones to Your Phone in 30 Seconds!",30,3,0.65,1.95,1.2,0,0,0,1,0.1,0,"ringtones,Ringtones,ringtone,ring,tone,ctu,24,tones",8,0.333333333333333,0.333333333333333
"74",9833,2006-12-27,"24 tv show ringtones","Get 24 CTU Ringtones","Theme, CTU Office Phone, Clock Tick","Tones to Your Phone in 30 Seconds!",72,6,0.663333333333333,3.98,1.01111111111111,2,27.4,0,2,0.0833333333333333,0.333333333333333,"ringtones,Ringtones,ringtone,ring,tone,ctu,24,tones",8,0.5,0
"75",9838,2006-12-27,"ringtones for 24","Complimentary 24 Tones","Theme, CTU Office Phone, Clock Tick","Tones in 30 Seconds - It's Da Bomb!",4,1,0.84,0.84,2.75,0,0,0,0,0.25,0,"A,tone,24,tones",4,0.333333333333333,0
"76",9839,2006-12-27,"ringtones 24","Get 24 CTU Ringtones","Theme, CTU Office Phone, Clock Tick","Tones to Your Phone in 30 Seconds!",306,35,0.630285714285714,22.06,2.19166666666667,1,13.7,2,2,0.11437908496732,0.0285714285714286,"ringtones,Ringtones,ringtone,ring,tone,ctu,24,tones",8,1,0
"77",9848,2006-12-27,"24 ringtone verizon","Get 24 CTU Ringtones","Theme, CTU Office Phone, Clock Tick","Tones to Your Phone in 30 Seconds!",11,6,0.711666666666667,4.27,2.16666666666667,0,0,0,0,0.545454545454545,0,"ringtones,Ringtones,ringtone,ring,tone,ctu,24,tones",8,0.333333333333333,0
"78",9850,2006-12-27,"ringtone for 24","Get 24 CTU Ringtones","Theme, CTU Office Phone, Clock Tick","Tones to Your Phone in 30 Seconds!",14,1,0.84,0.84,3.85,0,0,0,0,0.0714285714285714,0,"ringtones,Ringtones,ringtone,ring,tone,ctu,24,tones",8,0.333333333333333,0
"79",9853,2006-12-27,"24 telephone ringtone","Get 24 CTU Ringtones","Theme, CTU Office Phone, Clock Tick","Tones to Your Phone in 30 Seconds!",4,3,0.563333333333333,1.69,2,0,0,0,0,0.75,0,"ringtones,Ringtones,ringtone,ring,tone,ctu,24,tones",8,0.333333333333333,0
"80",9860,2006-12-27,"24 ctu ringtones","Get 24 CTU Ringtones","Theme, CTU Office Phone, Clock Tick","Tones to Your Phone in 30 Seconds!",32,6,0.626666666666667,3.76,1.6,0,0,0,1,0.1875,0,"ringtones,Ringtones,ringtone,ring,tone,ctu,24,tones",8,1,0.333333333333333
"81",1591,2006-12-28,"buckcherry ringtones","Get Buckcherry Ringtones","Get Buckcherry Ring Tones Now","Tones to Your Phone in 30 Seconds!",25,1,0.74,0.74,1.2,0,0,0,1,0.04,0,"buckcherry,ringtones,Ringtones,ringtone,ring,tone,tones",7,1,0.5
"82",1600,2006-12-28,"Three 6 Mafia Ringtones","Three 6 Mafia Tones","Poppin My Collar, Stay Fly & More.","Tones to Your Phone in 30 Seconds!",20,1,0.86,0.86,1.45,0,0,0,0,0.05,0,"Three,6,Mafia,A,tone,tones",6,0.75,0
"83",1683,2006-12-28,"Carrie Underwood Ringtones","Carrie Underwood Tones","Jesus, Take The Wheel & Many More.","Tones to Your Phone in 30 Seconds!",27,5,0.798,3.99,2.55,0,0,0,1,0.185185185185185,0,"Carrie,Underwood,A,tone,tones",5,0.666666666666667,0
"84",1689,2006-12-28,"def leppard ringtones","Def Leppard Ringtones","Pour Some Sugar On Me and Many More","Tones to Your Phone in 30 Seconds!",19,2,0.63,1.26,1.1,0,0,2,0,0.105263157894737,0,"ringtones,Ringtones,def,leppard,A,ringtone,ring,tone,tones",9,1,0
"85",1980,2006-12-28,"System Of A Down Ringtones","System Of A Down Tones","Hypnotize, Chop Suey, Aerials, More","Tones to Your Phone in 30 Seconds!",47,6,0.803333333333333,4.82,1.43333333333333,2,24.6,2,0,0.127659574468085,0.333333333333333,"System,Of,A,Down,tone,tones",6,0.8,0
"86",2324,2006-12-28,"theme song ringtone","TV Theme Ringtones","Get {KeyWord: Your Favorite TV Ringtones}","Tones to Your Phone in 30 Seconds!",136,13,0.672307692307692,8.74,1.98888888888889,0,0,0,1,0.0955882352941176,0,"ringtones,Ringtones,theme,ringtone,the,ring,tone,tones,tv",9,0.333333333333333,0
"87",2627,2006-12-28,"hawaiian music ringtones","{KeyWord: Complimentary Ringtones}","The Deal Everybody is Talking About","Complimentary Tones in 30 Seconds!",1,0,0,0,3,0,0,0,0,0,0,"ringtones,Ringtones,A,ringtone,ring,tone,tones",7,0,0
"88",3039,2006-12-28,"ringtones panic at the disco","Panic! Ringtones","I Write Sins Not Tragedies Ringtone","Tones to Your Phone in 30 Seconds",24,1,0.65,0.65,1.13333333333333,0,0,0,1,0.0416666666666667,0,"ringtones,Ringtones,A,ringtone,panic,ring,tone,tones",8,0.2,0
"89",3360,2006-12-28,"ringtones cascada","Get Cascada Ringtones","Get Everytime We Touch Ring Tone","Tones in 30 Seconds - It's Da Bomb!",8,0,0,0,2.66666666666667,0,0,0,0,0,0,"ringtones,Ringtones,A,ringtone,cascada,ring,tone,tones",8,1,0
"90",8288,2006-12-28,"Kid Rock Ringtones","Get Kid Rock Ringtones","Picture, Cowboy, Bawitdaba & More.","Tones in 30 Seconds - It's Da Bomb!",8,2,0.67,1.34,1.1,0,0,1,0,0.25,0,"ringtones,Ringtones,ringtone,Kid,Rock,ring,tone,tones",8,1,0
"91",9409,2006-12-28,"Gospel Ringtones","{KeyWord: Inspirational Ringtones}","The Newest Christian Ringtone Club","Tones to Your Phone in 30 Seconds!",94,10,0.906,9.06,3.15,0,0,3,2,0.106382978723404,0,"ringtones,Ringtones,A,ringtone,at,ring,tone,tones",8,0,0
"92",9708,2006-12-28,"mosquito ring tone","Stealth Mosquito Ringtone","You know you want it - we got it!","Works with all carriers. Get it Now",196,14,0.717142857142857,10.04,3.48461538461538,1,14.6,0,2,0.0714285714285714,0.0714285714285714,"A,ringtone,mosquito,ring,tone",5,0.333333333333333,0
"93",9710,2006-12-28,"mosquito ringer","Stealth Mosquito Ringtone","Yeah, the one the adults can't hear","Ultrasonic Mosquito Ringer Is Hot!",11,2,0.615,1.23,2.06,0,0,0,1,0.181818181818182,0,"A,ringtone,mosquito,ring,tone",5,0.5,0
