Keyword ID,Date,Keyword,Keyword_ringtone,Keyword_WordCount,Headline,Headline_WordCount,Headline_Number,Headline_Readability,Line 1,Line 1_Time,Line1_WordCount,Line 2,Line 2_Action,Line2_WordCount,Line_2_Time,Impressions,Clicks,Clicks_b, Avg_CPC , Cost ,Position,actioncount,actioncount_b,revenue,Competition,Volume,KeywordinHeadline,KeywordinBody,CTR,Conversion,Headline_Specific,Profit,Profitability
9409,12/26/2006,Gospel Ringtones,1,2,{KeyWord: Inspirational Ringtones},3,0,0,The Lord Has a Gift For You Today,0,8,Tones to Your Phone in 30 Seconds!,0,7,0,75,8,1,0.92,7.33,1.74,0,0,0,3,2,0,0,0.106666667,0,0,-7.33,0
9708,12/26/2006,mosquito ring tone,0,3,Stealth Mosquito Ringtone,3,0,1,You know you want it - we got it!,0,9,Works with all carriers. Get it Now,1,7,1,192,25,1,0.7,17.41,4.18,0,0,0,0,2,0.333333333,0,0.130208333,0,1,-17.41,0
9710,12/26/2006,mosquito ringer,0,2,Mosquito Ringtone,2,0,0,You know you want it - we got it!,0,9,Works with all carriers. Get it Now,1,7,1,30,6,1,0.69,4.16,1.13,1,1,14.6,0,1,0.5,0,0.2,0.166666667,1,10.44,1
9722,12/26/2006,ultrasonic ringtone,0,2,Stealth Mosquito Ringtone,3,0,1,"Yeah, the one the adults can't hear",0,7,Tones to Your Phone in 30 Seconds!,0,7,0,36,4,1,0.8,3.19,1.08,1,1,14.6,0,1,0.5,0,0.111111111,0.25,1,11.41,1
9724,12/26/2006,ringtones adults can't hear,1,4,Mosquito Ringtone,2,0,0,"Yeah, the one the adults can't hear",0,7,Works with all carriers. Get it Now,1,7,1,15,0,0,0,0,2.6,0,0,0,0,0,0,0.75,0,,1,0,0
9728,12/26/2006,ringtone adults can't hear,0,4,Stealth Mosquito Ringtone,3,0,1,"Yeah, the one the adults can't hear",0,7,Tones in 30 Seconds - It's Da Bomb!,0,8,0,37,3,1,0.3,0.9,1.03,0,0,0,0,0,0.25,0.75,0.081081081,0,1,-0.9,0
9756,12/26/2006,family guy ringtones,1,3,Get Family Guy Ringtones,4,0,0,Your Favorite Family Guy Ringtones,0,5,Tones to Your Phone in 30 Seconds!,0,7,0,184,26,1,0.66,17.28,1.18,1,1,13.7,0,2,1,1,0.141304348,0.038461538,1,-3.58,0
9788,12/26/2006,ctu ringtone,0,2,Get 24 CTU Ringtones,4,1,0,"Theme, CTU Office Phone, Clock Tick",0,6,Tones to Your Phone in 30 Seconds!,0,7,0,115,18,1,0.81,14.62,1.75,1,1,13.7,4,2,0.5,0.5,0.156521739,0.055555556,0,-0.92,0
9789,12/26/2006,24 ringtone,0,2,24 CTU Ringtones,3,1,0,"Theme, CTU Office Phone, Clock Tick",0,6,Tones in 30 Seconds - It's Da Bomb!,0,8,0,2,0,0,0,0,1,0,0,0,4,2,0.5,0,0,,0,0,0
9792,12/26/2006,24 ring tones,0,3,Get 24 CTU Ringtones,4,1,0,"Theme, CTU Office Phone, Clock Tick",0,6,Tones to Your Phone in 30 Seconds!,0,7,0,67,17,1,0.53,8.96,1.03,0,0,0,3,1,0.333333333,0,0.253731343,0,0,-8.96,0
9798,12/26/2006,24 ringer,0,2,24 CTU Ringtones,3,1,0,"Theme, CTU Office Phone, Clock Tick",0,6,Tones in 30 Seconds - It's Da Bomb!,0,8,0,5,0,0,0,0,2,0,0,0,0,1,0.5,0,0,,0,0,0
9800,12/26/2006,ctu ringer,0,2,Get 24 CTU Ringtones,4,1,0,"Theme, CTU Office Phone, Clock Tick",0,6,Tones to Your Phone in 30 Seconds!,0,7,0,23,2,1,0.58,1.15,1.86,0,0,0,0,0,0.5,0.5,0.086956522,0,0,-1.15,0
9801,12/26/2006,24 ringers,0,2,24 CTU Ringtones,3,1,0,"24 Theme, CTU Office Phone and More",0,7,Tones in 30 Seconds - It's Da Bomb!,0,8,0,2,1,1,0.62,0.62,1,0,0,0,0,0,0.5,0.5,0.5,0,0,-0.62,0
9802,12/26/2006,fox 24 ringtone,0,3,Get 24 CTU Ringtones,4,1,0,"24 Theme, CTU Office Phone and More",0,7,Tones to Your Phone in 30 Seconds!,0,7,0,3,0,0,0,0,4,0,0,0,0,0,0.333333333,0.333333333,0,,0,0,0
9807,12/26/2006,ctu ringtone for,0,3,Get 24 CTU Ringtones,4,1,0,"Theme, CTU Office Phone, Clock Tick",0,6,Tones in 30 Seconds - It's Da Bomb!,0,8,0,4,1,1,0.79,0.79,3,0,0,0,0,0,0.333333333,0.333333333,0.25,0,0,-0.79,0
9809,12/26/2006,fox 24 ringtones,1,3,24 CTU Ringtones,3,1,0,"Theme, CTU Office Phone, Clock Tick",0,6,Tones to Your Phone in 30 Seconds!,0,7,0,2,1,1,0.57,0.57,1,0,0,0,0,0,0.666666667,0,0.5,0,0,-0.57,0
9810,12/26/2006,24 theme ringtone,0,3,Get 24 CTU Ringtones,4,1,0,"Theme, CTU Office Phone, Clock Tick",0,6,Tones in 30 Seconds - It's Da Bomb!,0,8,0,14,1,1,0.81,0.81,2,0,0,0,0,1,0.333333333,0,0.071428571,0,0,-0.81,0
9814,12/26/2006,24 phone ringtone,0,3,Get 24 CTU Ringtones,4,1,0,"Theme, CTU Office Phone, Clock Tick",0,6,Tones to Your Phone in 30 Seconds!,0,7,0,22,2,1,0.51,1.01,2.41,0,0,0,0,1,0.333333333,0,0.090909091,0,0,-1.01,0
9815,12/26/2006,24 tv show ringtone,0,4,Get 24 CTU Ringtones,4,1,0,"Theme, CTU Office Phone, Clock Tick",0,6,Tones to Your Phone in 30 Seconds!,0,7,0,7,2,1,0.69,1.38,3.26,0,0,0,0,0,0.25,0,0.285714286,0,0,-1.38,0
9823,12/26/2006,ringtones from 24,1,3,Get 24 CTU Ringtones,4,1,0,"Theme, CTU Office Phone, Clock Tick",0,6,Tones to Your Phone in 30 Seconds!,0,7,0,5,0,0,0,0,1.67,0,0,0,0,0,0.666666667,0,0,,0,0,0
9825,12/26/2006,ringtones ctu,1,2,Get 24 CTU Ringtones,4,1,0,"Theme, CTU Office Phone, Clock Tick",0,6,Tones to Your Phone in 30 Seconds!,0,7,0,36,7,1,0.6,4.19,1.2,0,0,0,2,1,1,0.5,0.194444444,0,0,-4.19,0
9826,12/26/2006,download 24 ringtone,0,3,Get 24 CTU Ringtones,4,1,0,"Theme, CTU Office Phone, Clock Tick",0,6,Tones to Your Phone in 30 Seconds!,0,7,0,9,2,1,0.78,1.56,1.24,0,0,0,0,1,0.333333333,0,0.222222222,0,0,-1.56,0
9829,12/26/2006,ctu phone ringtone,0,3,Get 24 CTU Ringtones,4,1,0,"Theme, CTU Office Phone, Clock Tick",0,6,Tones to Your Phone in 30 Seconds!,0,7,0,16,2,1,0.62,1.23,1.5,0,0,0,0,1,0.333333333,0.333333333,0.125,0,0,-1.23,0
9833,12/26/2006,24 tv show ringtones,1,4,Get 24 CTU Ringtones,4,1,0,"Theme, CTU Office Phone, Clock Tick",0,6,Tones to Your Phone in 30 Seconds!,0,7,0,76,7,1,0.64,4.5,1,0,0,0,0,2,0.5,0,0.092105263,0,0,-4.5,0
9838,12/26/2006,ringtones for 24,1,3,24 CTU Ringtones,3,1,0,"Theme, CTU Office Phone, Clock Tick",0,6,Tones in 30 Seconds - It's Da Bomb!,0,8,0,2,0,0,0,0,3,0,0,0,0,0,0.666666667,0,0,,0,0,0
9839,12/26/2006,ringtones 24,1,2,Get 24 CTU Ringtones,4,1,0,"Theme, CTU Office Phone, Clock Tick",0,6,Tones to Your Phone in 30 Seconds!,0,7,0,298,36,1,0.59,21.38,2.14,0,0,0,2,2,1,0,0.120805369,0,0,-21.38,0
9848,12/26/2006,24 ringtone verizon,0,3,Get 24 CTU Ringtones,4,1,0,"24 Theme, CTU Office Phone and More",0,7,Tones to Your Phone in 30 Seconds!,0,7,0,6,3,1,0.75,2.24,3,0,0,0,0,0,0.333333333,0.333333333,0.5,0,0,-2.24,0
9850,12/26/2006,ringtone for 24,0,3,Get 24 CTU Ringtones,4,1,0,"Theme, CTU Office Phone, Clock Tick",0,6,Tones to Your Phone in 30 Seconds!,0,7,0,11,4,1,0.76,3.04,3.03,0,0,0,0,0,0.333333333,0,0.363636364,0,0,-3.04,0
9853,12/26/2006,24 telephone ringtone,0,3,Get 24 CTU Ringtones,4,1,0,"Theme, CTU Office Phone, Clock Tick",0,6,Tones to Your Phone in 30 Seconds!,0,7,0,6,2,1,0.68,1.35,1.9,0,0,0,0,0,0.333333333,0,0.333333333,0,0,-1.35,0
9860,12/26/2006,24 ctu ringtones,1,3,Get 24 CTU Ringtones,4,1,0,"Theme, CTU Office Phone, Clock Tick",0,6,Tones to Your Phone in 30 Seconds!,0,7,0,28,7,1,0.67,4.68,1.11,0,0,0,0,1,1,0.333333333,0.25,0,0,-4.68,0
1591,12/27/2006,buckcherry ringtones,1,2,Get Buckcherry Ringtones,3,0,1,Get Buckcherry Ring Tones Now,1,5,Tones to Your Phone in 30 Seconds!,0,7,0,26,2,1,0.59,1.18,1.35,0,0,0,0,1,1,0.5,0.076923077,0,0,-1.18,0
1600,12/27/2006,Three 6 Mafia Ringtones,1,4,Three 6 Mafia Tones,4,1,0,"Poppin My Collar, Stay Fly & More.",0,7,Tones to Your Phone in 30 Seconds!,0,7,0,25,1,1,0.79,0.79,1.17,0,0,0,0,0,0.75,0,0.04,0,1,-0.79,0
1683,12/27/2006,Carrie Underwood Ringtones,1,3,Carrie Underwood Tones,3,0,1,"Jesus, Take The Wheel & Many More.",0,7,Tones to Your Phone in 30 Seconds!,0,7,0,26,2,1,0.76,1.51,2.6,0,0,0,0,1,0.666666667,0,0.076923077,0,1,-1.51,0
1689,12/27/2006,def leppard ringtones,1,3,Def Leppard Ringtones,3,0,1,Pour Some Sugar On Me and Many More,0,8,Tones to Your Phone in 30 Seconds!,0,7,0,9,2,1,0.75,1.49,1,0,0,0,2,0,1,0,0.222222222,0,1,-1.49,0
1980,12/27/2006,System Of A Down Ringtones,1,5,System Of A Down Tones,5,0,0,"Hypnotize, Chop Suey, Aerials, More",0,5,Tones to Your Phone in 30 Seconds!,0,7,0,13,6,1,0.78,4.69,1.07,0,0,0,2,0,0.8,0,0.461538462,0,0,-4.69,0
2324,12/27/2006,theme song ringtone,0,3,TV Theme Ringtones,3,0,0,Get {KeyWord: Your Favorite TV Ringtones},0,6,Tones to Your Phone in 30 Seconds!,0,7,0,101,14,1,0.67,9.4,1.89,1,1,14.6,0,1,0.333333333,0,0.138613861,0.071428571,0,5.2,1
2627,12/27/2006,hawaiian music ringtones,1,3,{KeyWord: Complimentary Ringtones},3,0,0,Download Now - Limited Time Offer.,1,6,Tones to Your Phone in 30 Seconds!,0,7,0,3,2,1,0.55,1.09,2,0,0,0,0,0,0,0,0.666666667,0,0,-1.09,0
3039,12/27/2006,ringtones panic at the disco,1,5,Get Panic! Ringtones,3,0,0,Get Panic! At The Disco Ringtones,0,6,Tones to Your Phone in 30 Seconds,0,7,0,3,1,1,0.61,0.61,1.67,0,0,0,0,1,0.2,0.8,0.333333333,0,0,-0.61,0
3360,12/27/2006,ringtones cascada,1,2,Get Cascada Ringtones,3,0,1,Get Everytime We Touch Ring Tone,0,6,Tones in 30 Seconds - It's Da Bomb!,0,8,0,19,1,1,0.85,0.85,3,0,0,0,0,0,1,0,0.052631579,0,0,-0.85,0
8288,12/27/2006,Kid Rock Ringtones,1,3,Get Kid Rock Ringtones,4,0,0,"Picture, Cowboy, Bawitdaba & More.",0,5,Tones in 30 Seconds - It's Da Bomb!,0,8,0,19,7,1,0.75,5.22,1.15,0,0,0,1,0,1,0,0.368421053,0,1,-5.22,0
9409,12/27/2006,Gospel Ringtones,1,2,{KeyWord: Inspirational Ringtones},3,0,0,The Newest Christian Ringtone Club,0,5,Tones to Your Phone in 30 Seconds!,0,7,0,163,12,1,0.9,10.76,2.45,0,0,0,3,2,0,0,0.073619632,0,0,-10.76,0
9708,12/27/2006,mosquito ring tone,0,3,Stealth Mosquito Ringtone,3,0,1,"Yeah, the one the adults can't hear",0,7,Works with all carriers. Get it Now,1,7,1,143,10,1,0.7,7.02,3.63,0,0,0,0,2,0.333333333,0,0.06993007,0,1,-7.02,0
9710,12/27/2006,mosquito ringer,0,2,Stealth Mosquito Ringtone,3,0,1,You know you want it - we got it!,0,9,Works with all carriers. Get it Now,1,7,1,20,2,1,0.76,1.51,2.4,1,1,14.6,0,1,0.5,0,0.1,0.5,1,13.09,1
9722,12/27/2006,ultrasonic ringtone,0,2,Stealth Mosquito Ringtone,3,0,1,You know you want it - we got it!,0,9,Works with all carriers. Get it Now,1,7,1,48,3,1,0.75,2.24,1.2,0,0,0,0,1,0.5,0,0.0625,0,1,-2.24,0
9724,12/27/2006,ringtones adults can't hear,1,4,Mosquito Ringtone,2,0,0,"Yeah, the one the adults can't hear",0,7,Works with all carriers. Get it Now,1,7,1,11,1,1,0.4,0.4,1,0,0,0,0,0,0,0.75,0.090909091,0,1,-0.4,0
9728,12/27/2006,ringtone adults can't hear,0,4,Stealth Mosquito Ringtone,3,0,1,"Yeah, the one the adults can't hear",0,7,Works with all carriers. Get it Now,1,7,1,31,5,1,0.38,1.88,1.66,0,0,0,0,0,0.25,0.75,0.161290323,0,1,-1.88,0
9756,12/27/2006,family guy ringtones,1,3,Get Family Guy Ringtones,4,0,0,Your Favorite Family Guy Ringtones,0,5,Tones to Your Phone in 30 Seconds!,0,7,0,106,11,1,0.75,8.23,2.02,0,0,0,0,2,1,1,0.103773585,0,1,-8.23,0
9788,12/27/2006,ctu ringtone,0,2,Get 24 CTU Ringtones,4,1,0,"Theme, CTU Office Phone, Clock Tick",0,6,Tones to Your Phone in 30 Seconds!,0,7,0,112,15,1,0.77,11.51,2.59,0,0,0,4,2,0.5,0.5,0.133928571,0,0,-11.51,0
9789,12/27/2006,24 ringtone,0,2,24 CTU Ringtones,3,1,0,"Theme, CTU Office Phone, Clock Tick",0,6,Tones in 30 Seconds - It's Da Bomb!,0,8,0,2,0,0,0,0,1,0,0,0,4,2,0.5,0,0,,0,0,0
9792,12/27/2006,24 ring tones,0,3,Get 24 CTU Ringtones,4,1,0,"Theme, CTU Office Phone, Clock Tick",0,6,Tones to Your Phone in 30 Seconds!,0,7,0,52,12,1,0.6,7.16,1.29,0,0,0,3,1,0.333333333,0,0.230769231,0,0,-7.16,0
9798,12/27/2006,24 ringer,0,2,Get 24 CTU Ringtones,4,1,0,"Theme, CTU Office Phone, Clock Tick",0,6,Tones to Your Phone in 30 Seconds!,0,7,0,6,2,1,0.72,1.43,1.73,0,0,0,0,1,0.5,0,0.333333333,0,0,-1.43,0
9800,12/27/2006,ctu ringer,0,2,24 CTU Ringtones,3,1,0,"24 Theme, CTU Office Phone and More",0,7,Tones in 30 Seconds - It's Da Bomb!,0,8,0,6,0,0,0,0,2.25,0,0,0,0,0,0.5,0.5,0,,0,0,0
9801,12/27/2006,24 ringers,0,2,24 CTU Ringtones,3,1,0,"24 Theme, CTU Office Phone and More",0,7,Tones in 30 Seconds - It's Da Bomb!,0,8,0,4,2,1,0.71,1.42,2.5,0,0,0,0,0,0.5,0.5,0.5,0,0,-1.42,0
9802,12/27/2006,fox 24 ringtone,0,3,24 CTU Ringtones,3,1,0,"Theme, CTU Office Phone, Clock Tick",0,6,Tones in 30 Seconds - It's Da Bomb!,0,8,0,6,0,0,0,0,2.3,0,0,0,0,0,0.333333333,0,0,,0,0,0
9807,12/27/2006,ctu ringtone for,0,3,24 CTU Ringtones,3,1,0,"24 Theme, CTU Desk Phone and More",0,7,Tones in 30 Seconds - It's Da Bomb!,0,8,0,3,0,0,0,0,5,0,0,0,0,0,0.333333333,0.333333333,0,,0,0,0
9809,12/27/2006,fox 24 ringtones,1,3,24 CTU Ringtones,3,1,0,"Theme, CTU Office Phone, Clock Tick",0,6,Tones in 30 Seconds - It's Da Bomb!,0,8,0,2,2,1,0.58,1.16,1,0,0,0,0,0,0.666666667,0,1,0,0,-1.16,0
9810,12/27/2006,24 theme ringtone,0,3,24 CTU Ringtones,3,1,0,"Theme, CTU Office Phone, Clock Tick",0,6,Tones to Your Phone in 30 Seconds!,0,7,0,4,0,0,0,0,1,0,0,0,0,1,0.333333333,0,0,,0,0,0
9814,12/27/2006,24 phone ringtone,0,3,Get 24 CTU Ringtones,4,1,0,"Theme, CTU Office Phone, Clock Tick",0,6,Tones to Your Phone in 30 Seconds!,0,7,0,32,9,1,0.58,5.25,1.48,0,0,0,0,1,0.333333333,0,0.28125,0,0,-5.25,0
9815,12/27/2006,24 tv show ringtone,0,4,Get 24 CTU Ringtones,4,1,0,"Theme, CTU Office Phone, Clock Tick",0,6,Tones to Your Phone in 30 Seconds!,0,7,0,28,4,1,0.8,3.2,2.06,0,0,0,0,0,0.25,0,0.142857143,0,0,-3.2,0
9823,12/27/2006,ringtones from 24,1,3,Get 24 CTU Ringtones,4,1,0,"24 Theme, CTU Desk Phone and More",0,7,Tones to Your Phone in 30 Seconds!,0,7,0,3,1,1,0.47,0.47,1,0,0,0,0,0,0.666666667,0.333333333,0.333333333,0,0,-0.47,0
9825,12/27/2006,ringtones ctu,1,2,Get 24 CTU Ringtones,4,1,0,"Theme, CTU Office Phone, Clock Tick",0,6,Tones to Your Phone in 30 Seconds!,0,7,0,38,8,1,0.68,5.4,1.09,0,0,0,2,1,1,0.5,0.210526316,0,0,-5.4,0
9826,12/27/2006,download 24 ringtone,0,3,Get 24 CTU Ringtones,4,1,0,"Theme, CTU Office Phone, Clock Tick",0,6,Tones to Your Phone in 30 Seconds!,0,7,0,27,3,1,0.7,2.1,1.03,0,0,0,0,1,0.333333333,0,0.111111111,0,0,-2.1,0
9829,12/27/2006,ctu phone ringtone,0,3,Get 24 CTU Ringtones,4,1,0,"Theme, CTU Office Phone, Clock Tick",0,6,Tones to Your Phone in 30 Seconds!,0,7,0,30,3,1,0.65,1.95,1.2,0,0,0,0,1,0.333333333,0.333333333,0.1,0,0,-1.95,0
9833,12/27/2006,24 tv show ringtones,1,4,Get 24 CTU Ringtones,4,1,0,"Theme, CTU Office Phone, Clock Tick",0,6,Tones to Your Phone in 30 Seconds!,0,7,0,72,6,1,0.66,3.98,1.01,2,1,27.4,0,2,0.5,0,0.083333333,0.333333333,0,23.42,1
9838,12/27/2006,ringtones for 24,1,3,Complimentary 24 Tones,3,1,0,"Theme, CTU Office Phone, Clock Tick",0,6,Tones in 30 Seconds - It's Da Bomb!,0,8,0,4,1,1,0.84,0.84,2.75,0,0,0,0,0,0.333333333,0,0.25,0,0,-0.84,0
9839,12/27/2006,ringtones 24,1,2,Get 24 CTU Ringtones,4,1,0,"Theme, CTU Office Phone, Clock Tick",0,6,Tones to Your Phone in 30 Seconds!,0,7,0,306,35,1,0.63,22.06,2.19,1,1,13.7,2,2,1,0,0.114379085,0.028571429,0,-8.36,0
9848,12/27/2006,24 ringtone verizon,0,3,Get 24 CTU Ringtones,4,1,0,"Theme, CTU Office Phone, Clock Tick",0,6,Tones to Your Phone in 30 Seconds!,0,7,0,11,6,1,0.71,4.27,2.17,0,0,0,0,0,0.333333333,0,0.545454545,0,0,-4.27,0
9850,12/27/2006,ringtone for 24,0,3,Get 24 CTU Ringtones,4,1,0,"Theme, CTU Office Phone, Clock Tick",0,6,Tones to Your Phone in 30 Seconds!,0,7,0,14,1,1,0.84,0.84,3.85,0,0,0,0,0,0.333333333,0,0.071428571,0,0,-0.84,0
9853,12/27/2006,24 telephone ringtone,0,3,Get 24 CTU Ringtones,4,1,0,"Theme, CTU Office Phone, Clock Tick",0,6,Tones to Your Phone in 30 Seconds!,0,7,0,4,3,1,0.56,1.69,2,0,0,0,0,0,0.333333333,0,0.75,0,0,-1.69,0
9860,12/27/2006,24 ctu ringtones,1,3,Get 24 CTU Ringtones,4,1,0,"Theme, CTU Office Phone, Clock Tick",0,6,Tones to Your Phone in 30 Seconds!,0,7,0,32,6,1,0.63,3.76,1.6,0,0,0,0,1,1,0.333333333,0.1875,0,0,-3.76,0
1591,12/28/2006,buckcherry ringtones,1,2,Get Buckcherry Ringtones,3,0,1,Get Buckcherry Ring Tones Now,1,5,Tones to Your Phone in 30 Seconds!,0,7,0,25,1,1,0.74,0.74,1.2,0,0,0,0,1,1,0.5,0.04,0,0,-0.74,0
1600,12/28/2006,Three 6 Mafia Ringtones,1,4,Three 6 Mafia Tones,4,1,0,"Poppin My Collar, Stay Fly & More.",0,7,Tones to Your Phone in 30 Seconds!,0,7,0,20,1,1,0.86,0.86,1.45,0,0,0,0,0,0.75,0,0.05,0,1,-0.86,0
1683,12/28/2006,Carrie Underwood Ringtones,1,3,Carrie Underwood Tones,3,0,1,"Jesus, Take The Wheel & Many More.",0,7,Tones to Your Phone in 30 Seconds!,0,7,0,27,5,1,0.8,3.99,2.55,0,0,0,0,1,0.666666667,0,0.185185185,0,1,-3.99,0
1689,12/28/2006,def leppard ringtones,1,3,Def Leppard Ringtones,3,0,1,Pour Some Sugar On Me and Many More,0,8,Tones to Your Phone in 30 Seconds!,0,7,0,19,2,1,0.63,1.26,1.1,0,0,0,2,0,1,0,0.105263158,0,1,-1.26,0
1980,12/28/2006,System Of A Down Ringtones,1,5,System Of A Down Tones,5,0,0,"Hypnotize, Chop Suey, Aerials, More",0,5,Tones to Your Phone in 30 Seconds!,0,7,0,47,6,1,0.8,4.82,1.43,2,1,24.6,2,0,0.8,0,0.127659574,0.333333333,0,19.78,1
2324,12/28/2006,theme song ringtone,0,3,TV Theme Ringtones,3,0,0,Get {KeyWord: Your Favorite TV Ringtones},0,6,Tones to Your Phone in 30 Seconds!,0,7,0,136,13,1,0.67,8.74,1.99,0,0,0,0,1,0.333333333,0,0.095588235,0,0,-8.74,0
2627,12/28/2006,hawaiian music ringtones,1,3,{KeyWord: Complimentary Ringtones},3,0,0,The Deal Everybody is Talking About,0,6,Complimentary Tones in 30 Seconds!,0,5,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,,0,0,0
3039,12/28/2006,ringtones panic at the disco,1,5,Panic! Ringtones,2,0,0,I Write Sins Not Tragedies Ringtone,0,6,Tones to Your Phone in 30 Seconds,0,7,0,24,1,1,0.65,0.65,1.13,0,0,0,0,1,0.2,0,0.041666667,0,0,-0.65,0
3360,12/28/2006,ringtones cascada,1,2,Get Cascada Ringtones,3,0,1,Get Everytime We Touch Ring Tone,0,6,Tones in 30 Seconds - It's Da Bomb!,0,8,0,8,0,0,0,0,2.67,0,0,0,0,0,1,0,0,,0,0,0
8288,12/28/2006,Kid Rock Ringtones,1,3,Get Kid Rock Ringtones,4,0,0,"Picture, Cowboy, Bawitdaba & More.",0,5,Tones in 30 Seconds - It's Da Bomb!,0,8,0,8,2,1,0.67,1.34,1.1,0,0,0,1,0,1,0,0.25,0,1,-1.34,0
9409,12/28/2006,Gospel Ringtones,1,2,{KeyWord: Inspirational Ringtones},3,0,0,The Newest Christian Ringtone Club,0,5,Tones to Your Phone in 30 Seconds!,0,7,0,94,10,1,0.91,9.06,3.15,0,0,0,3,2,0,0,0.106382979,0,0,-9.06,0
9708,12/28/2006,mosquito ring tone,0,3,Stealth Mosquito Ringtone,3,0,1,You know you want it - we got it!,0,9,Works with all carriers. Get it Now,1,7,1,196,14,1,0.72,10.04,3.48,1,1,14.6,0,2,0.333333333,0,0.071428571,0.071428571,1,4.56,1
9710,12/28/2006,mosquito ringer,0,2,Stealth Mosquito Ringtone,3,0,1,"Yeah, the one the adults can't hear",0,7,Ultrasonic Mosquito Ringer Is Hot!,0,5,0,11,2,1,0.62,1.23,2.06,0,0,0,0,1,0.5,0,0.181818182,0,1,-1.23,0
9722,12/28/2006,ultrasonic ringtone,0,2,Stealth Mosquito Ringtone,3,0,1,You know you want it - we got it!,0,9,Works with all carriers. Get it Now,1,7,1,71,6,1,0.65,3.87,1.02,0,0,0,0,1,0.5,0,0.084507042,0,1,-3.87,0
9724,12/28/2006,ringtones adults can't hear,1,4,Stealth Mosquito Ringtone,3,0,1,"Yeah, the one the adults can't hear",0,7,Works with all carriers. Get it Now,1,7,1,20,1,1,0.4,0.4,1.02,0,0,0,0,0,0,0.75,0.05,0,1,-0.4,0
9728,12/28/2006,ringtone adults can't hear,0,4,Stealth Mosquito Ringtone,3,0,1,You know you want it - we got it!,0,9,Works with all carriers. Get it Now,1,7,1,39,3,1,0.3,0.9,1.01,0,0,0,0,0,0.25,0,0.076923077,0,1,-0.9,0
