acctnum,gender,state,zip,zip3,first,last,book,nonbook,total,purch,child,youth,cook,do_it,refernce,art,geog,buyer
10124,M,NJ,8848,88,53,15,125,207,332,11,2,0,4,2,2,1,0,0.00
10125,F,MD,20715,207,27,13,65,161,226,6,2,1,2,0,0,1,0,0.00
10126,F,NY,10956,109,21,21,15,66,81,1,0,0,1,0,0,0,0,0.00
10127,M,NY,13820,138,37,9,120,210,330,10,0,0,5,2,1,2,0,0.00
10128,F,MA,2043,20,15,15,15,103,118,1,0,1,0,0,0,0,0,0.00
10129,F,NJ,7001,70,21,7,33,280,313,3,1,0,1,0,0,0,1,0.00
10130,F,NY,11219,112,33,27,26,289,315,2,0,0,1,1,0,0,0,0.00
10131,F,NY,11040,110,21,13,27,299,326,2,0,1,0,0,1,0,0,0.00
10132,M,MD,21209,212,37,13,56,33,89,5,1,0,1,2,1,0,0,0.00
10133,F,NY,10002,100,65,27,127,203,330,11,0,3,4,1,2,0,1,0.00
10134,F,PA,19063,190,29,29,15,240,255,1,0,0,1,0,0,0,0,0.00
10135,F,NY,11742,117,13,13,15,160,175,1,0,0,0,0,1,0,0,0.00
10136,F,NY,11967,119,61,1,134,64,198,12,2,3,2,1,0,2,2,1.00
10137,M,DE,19808,198,11,5,24,256,280,2,0,2,0,0,0,0,0,1.00
10138,F,NY,10605,106,55,27,85,209,294,7,1,0,2,1,0,1,2,0.00
10139,F,NJ,7950,79,19,11,32,217,249,3,1,1,0,1,0,0,0,0.00
10140,M,PA,19154,191,11,7,29,8,37,2,0,0,1,0,0,0,1,0.00
10141,M,NY,11358,113,27,19,25,264,289,2,0,1,1,0,0,0,0,0.00
10142,F,NY,14895,148,29,29,15,56,71,1,0,0,1,0,0,0,0,0.00
10143,F,NY,11942,119,27,11,37,55,92,3,0,0,2,0,1,0,0,0.00
10144,M,PA,17602,176,19,11,25,19,44,2,0,0,2,0,0,0,0,0.00
10145,F,NY,14170,141,49,11,134,259,393,11,3,0,3,0,0,2,3,1.00
10146,F,MD,20906,209,5,5,15,196,211,1,0,0,0,0,0,1,0,0.00
10147,F,NY,10509,105,27,27,15,25,40,1,0,0,0,0,0,0,1,0.00
10148,F,MA,1451,14,29,23,29,189,218,2,0,0,1,0,0,0,1,0.00
10149,F,NJ,7758,77,19,15,27,143,170,2,0,0,0,1,1,0,0,0.00
10150,F,PA,17033,170,37,9,76,62,138,7,2,3,0,0,0,1,1,1.00
10151,F,NJ,8043,80,57,15,102,160,262,9,5,0,2,0,0,0,2,0.00
10152,F,NY,12203,122,31,1,114,86,200,10,2,1,4,0,1,1,1,0.00
10153,F,MA,2673,26,23,5,36,218,254,3,0,0,1,1,0,1,0,0.00
10154,M,NY,11224,112,21,17,29,154,183,2,0,0,1,0,0,0,1,0.00
10155,F,DE,19810,198,53,15,71,115,186,7,2,1,3,1,0,0,0,0.00
10156,F,NJ,7087,70,23,5,57,263,320,5,2,0,2,0,0,0,1,0.00
10157,F,NJ,8882,88,69,31,127,95,222,11,3,0,4,1,1,0,2,0.00
10158,M,CT,6759,67,19,13,28,114,142,2,0,1,0,0,0,1,0,1.00
10159,M,NY,10452,104,17,9,25,226,251,2,0,0,2,0,0,0,0,1.00
10160,F,NY,11360,113,1,1,15,187,202,1,0,0,0,0,1,0,0,0.00
10161,M,NY,11758,117,29,9,49,294,343,4,0,0,3,0,0,0,1,0.00
10162,F,NY,11206,112,11,11,15,293,308,1,0,0,0,0,0,0,1,0.00
10163,F,NH,3063,30,11,11,15,298,313,1,0,0,1,0,0,0,0,0.00
10164,F,NJ,8854,88,1,1,15,198,213,1,0,0,0,0,0,1,0,0.00
10165,F,MA,1237,12,7,3,28,230,258,2,0,1,0,0,0,1,0,0.00
10166,F,PA,15122,151,11,11,15,12,27,1,0,0,1,0,0,0,0,0.00
10167,M,NJ,8753,87,25,11,77,29,106,7,3,0,2,0,0,2,0,0.00
10168,F,NY,11354,113,13,13,15,41,56,1,0,0,1,0,0,0,0,0.00
10169,F,PA,15090,150,9,9,15,228,243,1,0,0,0,0,0,0,1,0.00
10170,F,PA,18704,187,13,9,25,32,57,2,0,0,2,0,0,0,0,0.00
10171,F,MD,21215,212,23,23,15,5,20,1,0,0,1,0,0,0,0,0.00
10172,F,PA,15068,150,15,15,15,195,210,1,1,0,0,0,0,0,0,0.00
10173,F,NY,11230,112,11,11,15,237,252,1,1,0,0,0,0,0,0,0.00
10174,F,NJ,8052,80,23,23,15,288,303,1,0,0,0,0,0,1,0,0.00
10175,F,MA,1824,18,5,3,29,23,52,2,1,0,0,0,0,0,1,0.00
10176,F,NY,11419,114,67,13,122,171,293,10,0,1,3,1,3,0,2,0.00
10177,F,PA,16701,167,57,9,136,158,294,12,5,1,4,0,0,0,2,0.00
10178,M,NY,11205,112,17,13,29,101,130,2,1,0,0,0,0,0,1,1.00
10179,F,NY,13839,138,31,23,28,89,117,2,0,0,1,0,0,1,0,0.00
10180,F,NY,14220,142,5,5,15,293,308,1,0,0,0,0,0,1,0,1.00
10181,F,NJ,7017,70,3,1,26,275,301,2,0,0,1,1,0,0,0,0.00
10182,F,PA,19390,193,21,15,29,4,33,2,0,0,0,1,0,0,1,0.00
10183,M,NY,11596,115,65,9,137,195,332,12,3,3,5,0,0,1,0,0.00
10184,F,PA,18072,180,21,21,15,107,122,1,1,0,0,0,0,0,0,0.00
10185,F,NJ,7901,79,25,1,102,239,341,9,1,3,3,0,1,0,1,0.00
10186,F,MA,2155,21,19,17,29,103,132,2,1,0,0,0,0,0,1,0.00
10187,F,MA,2154,21,27,5,73,289,362,6,0,1,1,0,1,2,1,1.00
10188,F,NY,11803,118,39,31,29,190,219,2,0,0,1,0,0,0,1,0.00
10189,M,NY,12701,127,23,11,34,284,318,3,0,1,2,0,0,0,0,0.00
10190,F,NY,10463,104,9,9,15,184,199,1,0,0,0,1,0,0,0,0.00
10191,F,NY,11429,114,29,25,23,301,324,2,2,0,0,0,0,0,0,0.00
10192,M,NY,10016,100,17,1,50,283,333,4,1,0,1,0,0,1,1,0.00
10193,F,NJ,7067,70,3,3,15,48,63,1,0,0,0,1,0,0,0,0.00
10194,F,NY,11010,110,57,17,86,177,263,7,2,0,1,0,1,1,2,0.00
10195,F,MD,21229,212,37,35,29,117,146,2,0,0,1,0,0,0,1,0.00
10196,F,NJ,8817,88,17,9,28,223,251,2,1,0,0,0,0,1,0,1.00
10197,F,NY,11727,117,13,7,29,46,75,2,0,0,1,0,0,0,1,0.00
10198,F,PA,18042,180,11,11,15,269,284,1,0,0,0,0,0,0,1,0.00
10199,F,NY,11429,114,57,13,97,74,171,8,1,0,1,2,1,1,2,0.00
10200,M,MD,20906,209,71,33,142,106,248,12,4,0,1,2,2,2,1,0.00
10201,F,NY,11207,112,1,1,15,42,57,1,0,0,0,0,0,0,1,0.00
10202,M,PA,19067,190,73,33,129,131,260,11,0,2,3,5,0,1,0,0.00
10203,F,NY,11367,113,53,3,113,67,180,10,2,0,5,1,1,0,1,0.00
10204,F,MD,21108,211,19,15,24,227,251,2,1,1,0,0,0,0,0,0.00
10205,F,NJ,7760,77,19,9,38,265,303,3,1,0,1,0,0,1,0,0.00
10206,M,ME,4107,41,69,11,123,259,382,11,2,0,5,2,1,1,0,0.00
10207,F,NJ,7305,73,1,1,15,299,314,1,0,0,1,0,0,0,0,0.00
10208,F,NJ,8080,80,31,25,29,3,32,2,1,0,0,0,0,0,1,0.00
10209,F,NY,10549,105,27,5,70,196,266,6,0,1,3,0,1,0,1,0.00
10210,M,NJ,7012,70,41,15,140,138,278,12,2,1,5,0,0,1,3,0.00
10211,F,MD,20639,206,15,15,15,234,249,1,1,0,0,0,0,0,0,1.00
10212,F,NJ,8648,86,11,11,15,137,152,1,1,0,0,0,0,0,0,0.00
10213,F,NJ,7508,75,21,7,38,64,102,3,0,0,2,0,0,1,0,0.00
10214,M,PA,19460,194,23,23,15,162,177,1,0,0,0,0,0,1,0,0.00
10215,M,NJ,7726,77,9,9,15,199,214,1,1,0,0,0,0,0,0,0.00
10216,M,MD,21043,210,17,11,28,250,278,2,0,0,0,1,0,1,0,0.00
10217,M,NY,11434,114,25,21,27,137,164,2,0,0,1,0,1,0,0,0.00
10218,F,PA,15205,152,7,5,29,242,271,2,0,1,0,0,0,0,1,0.00
10219,F,MD,21234,212,15,15,15,24,39,1,0,1,0,0,0,0,0,0.00
10220,M,MA,1890,18,73,25,138,277,415,12,5,1,0,2,1,1,2,0.00
10221,F,MA,1960,19,17,13,27,96,123,2,1,0,0,0,1,0,0,0.00
10222,F,PA,19606,196,17,13,29,40,69,2,0,0,1,0,0,0,1,0.00
10223,F,MA,1236,12,49,13,117,194,311,9,0,0,2,1,0,0,6,1.00
10224,F,NY,10301,103,11,11,15,18,33,1,0,1,0,0,0,0,0,0.00
10225,F,NJ,8332,83,15,15,15,157,172,1,0,0,0,0,1,0,0,0.00
10226,F,MA,2368,23,19,15,25,211,236,2,0,1,1,0,0,0,0,0.00
10227,F,NJ,8889,88,3,3,15,91,106,1,0,0,0,0,1,0,0,0.00
10228,M,PA,17055,170,25,3,97,318,415,9,1,3,2,2,0,0,1,0.00
10229,F,NY,11542,115,21,3,62,157,219,5,0,0,4,0,1,0,0,0.00
10230,M,PA,15238,152,11,7,26,154,180,2,0,1,0,1,0,0,0,1.00
10231,M,CT,6226,62,33,29,28,199,227,2,1,0,0,0,0,1,0,1.00
10232,F,NY,14218,142,9,5,29,237,266,2,1,0,0,0,0,0,1,0.00
10233,M,PA,15056,150,57,15,122,315,437,11,5,0,2,2,0,2,0,0.00
10234,F,NY,11365,113,9,9,15,173,188,1,1,0,0,0,0,0,0,0.00
10235,M,MD,21044,210,37,9,74,211,285,6,0,0,2,2,0,1,1,0.00
10236,M,PA,15108,151,33,5,105,203,308,9,0,2,3,0,2,0,2,0.00
10237,M,NJ,7010,70,35,31,25,137,162,2,0,0,2,0,0,0,0,0.00
10238,F,NY,14072,140,65,25,139,232,371,12,3,2,4,0,1,0,2,0.00
10239,F,MD,21042,210,1,1,15,29,44,1,0,0,1,0,0,0,0,1.00
10240,F,CT,6488,64,23,23,15,100,115,1,0,0,0,0,0,1,0,0.00
10241,F,NY,11224,112,37,29,29,192,221,2,0,1,0,0,0,0,1,0.00
10242,M,PA,16648,166,53,33,83,157,240,8,3,2,2,0,0,0,1,0.00
10243,M,MA,2062,20,3,1,24,79,103,2,1,1,0,0,0,0,0,0.00
10244,M,PA,19355,193,21,1,93,256,349,8,2,0,1,0,1,3,1,1.00
10245,M,NJ,7724,77,61,25,133,195,328,12,2,3,0,2,3,2,0,0.00
10246,M,NJ,7109,71,43,15,66,40,106,6,1,2,0,2,1,0,0,0.00
10247,F,NY,12538,125,15,15,15,152,167,1,0,1,0,0,0,0,0,0.00
10248,M,CT,6905,69,17,7,49,38,87,4,0,0,2,1,0,1,0,0.00
10249,F,PA,17057,170,13,5,25,254,279,2,1,0,1,0,0,0,0,0.00
10250,F,NJ,7481,74,15,15,15,81,96,1,0,0,0,0,0,1,0,0.00
10251,F,PA,19111,191,11,11,15,47,62,1,1,0,0,0,0,0,0,0.00
10252,F,MD,21234,212,21,21,15,116,131,1,0,0,1,0,0,0,0,0.00
10253,M,MA,2050,20,15,13,29,257,286,2,0,0,0,0,0,1,1,0.00
10254,F,MD,21144,211,19,19,15,168,183,1,1,0,0,0,0,0,0,0.00
10255,F,NJ,8831,88,9,5,29,117,146,2,0,0,0,0,1,0,1,0.00
10256,F,NJ,8882,88,35,31,25,108,133,2,1,0,1,0,0,0,0,0.00
10257,F,NY,11040,110,29,27,25,169,194,2,1,0,1,0,0,0,0,0.00
10258,M,PA,18471,184,35,27,29,151,180,2,0,0,1,0,0,0,1,0.00
10259,M,NY,11001,110,69,1,136,190,326,12,2,1,2,2,0,2,3,0.00
10260,M,NJ,8247,82,33,25,25,71,96,2,0,1,1,0,0,0,0,0.00
10261,F,PA,19128,191,27,5,57,113,170,5,1,0,3,0,0,0,1,0.00
10262,F,CT,6082,60,47,15,113,295,408,10,3,0,3,1,0,1,2,0.00
10263,M,NJ,7760,77,13,13,15,17,32,1,0,0,0,0,0,1,0,0.00
10264,F,NJ,7480,74,13,13,15,219,234,1,0,1,0,0,0,0,0,0.00
10265,F,PA,15101,151,65,11,117,235,352,11,5,1,3,1,0,1,0,0.00
10266,F,NJ,8033,80,31,11,91,228,319,8,2,1,1,1,2,0,1,0.00
10267,F,MD,21222,212,31,9,58,184,242,5,1,0,2,0,1,1,0,0.00
10268,M,MA,1886,18,11,5,26,270,296,2,1,0,0,1,0,0,0,0.00
10269,M,MD,21133,211,61,3,135,94,229,12,2,1,6,0,1,0,2,0.00
10270,F,NY,11703,117,11,3,29,235,264,2,0,0,1,0,0,0,1,0.00
10271,F,NJ,8733,87,55,1,117,69,186,10,2,1,1,2,1,1,2,1.00
10272,M,NY,11710,117,35,11,124,336,460,11,3,0,2,3,1,0,2,0.00
10273,F,NY,11566,115,13,13,15,116,131,1,0,0,0,0,1,0,0,0.00
10274,F,NY,11797,117,13,13,15,297,312,1,0,0,1,0,0,0,0,0.00
10275,F,NJ,8043,80,9,5,23,55,78,2,2,0,0,0,0,0,0,0.00
10276,F,NJ,8865,88,57,13,104,92,196,9,1,1,2,1,2,1,1,0.00
10277,F,NJ,7730,77,43,15,79,144,223,7,2,1,1,1,0,2,0,0.00
10278,F,PA,19006,190,3,3,15,291,306,1,0,0,0,0,0,1,0,0.00
10279,F,PA,19320,193,21,15,26,22,48,2,0,0,0,2,0,0,0,0.00
10280,M,NJ,7110,71,37,29,34,260,294,3,1,0,0,1,0,0,1,0.00
10281,F,CT,6810,68,27,27,15,57,72,1,0,0,1,0,0,0,0,0.00
10282,M,NJ,8755,87,51,13,121,164,285,11,2,0,3,4,0,1,1,0.00
10283,F,NJ,7712,77,11,11,15,150,165,1,0,0,1,0,0,0,0,0.00
10284,F,MA,1834,18,39,3,79,186,265,7,1,1,1,2,0,2,0,0.00
10285,M,VT,5855,58,25,15,63,238,301,5,0,0,1,2,0,1,1,0.00
10286,M,NY,10304,103,5,5,15,69,84,1,0,0,0,0,1,0,0,1.00
10287,M,MA,2720,27,25,21,23,123,146,2,2,0,0,0,0,0,0,0.00
10288,M,NY,10461,104,57,35,111,201,312,10,2,2,2,1,1,1,1,0.00
10289,F,NJ,7052,70,21,13,34,20,54,3,1,1,1,0,0,0,0,0.00
10290,F,NY,10710,107,17,9,23,173,196,2,2,0,0,0,0,0,0,0.00
10291,F,NY,10970,109,45,11,80,324,404,7,2,1,1,1,0,1,1,0.00
10292,F,NY,11357,113,15,11,28,282,310,2,1,0,0,0,0,1,0,0.00
10293,M,NJ,8751,87,33,1,145,98,243,12,3,0,4,1,1,1,2,0.00
10294,F,NJ,8071,80,23,15,28,296,324,2,0,0,0,1,0,1,0,0.00
10295,M,MA,2332,23,57,15,104,264,368,9,0,2,2,2,1,2,0,0.00
10296,M,NJ,7002,70,5,3,26,44,70,2,1,0,0,1,0,0,0,0.00
10297,F,MD,20769,207,13,11,26,250,276,2,1,0,0,1,0,0,0,0.00
10298,F,NJ,8037,80,43,11,90,69,159,8,1,1,3,1,0,1,1,0.00
10299,F,MA,2035,20,31,27,25,288,313,2,1,0,1,0,0,0,0,0.00
10300,F,PA,19609,196,23,23,15,121,136,1,0,0,0,0,1,0,0,0.00
10301,M,NY,10304,103,59,11,132,225,357,12,2,4,2,2,0,2,0,0.00
10302,M,PA,19116,191,11,11,15,132,147,1,0,1,0,0,0,0,0,0.00
10303,F,MD,21122,211,15,15,15,92,107,1,0,1,0,0,0,0,0,0.00
10304,F,PA,18103,181,71,7,127,245,372,11,3,1,1,1,1,2,2,0.00
10305,M,NY,10970,109,9,9,15,220,235,1,0,1,0,0,0,0,0,0.00
10306,M,PA,18103,181,53,21,114,151,265,10,2,0,3,3,1,0,1,0.00
10307,M,NY,11501,115,25,1,47,81,128,4,1,1,1,0,0,0,1,0.00
10308,F,NJ,8872,88,3,3,15,216,231,1,0,0,0,1,0,0,0,0.00
10309,F,NY,10954,109,5,1,26,168,194,2,0,0,1,1,0,0,0,0.00
10310,F,PA,17356,173,23,15,28,236,264,2,0,1,0,0,0,1,0,0.00
10311,F,DE,19804,198,17,3,35,225,260,3,1,0,0,1,1,0,0,0.00
10312,F,MA,2072,20,73,35,112,329,441,10,3,1,3,1,1,0,1,0.00
10313,M,MD,20815,208,13,11,26,7,33,2,0,1,0,1,0,0,0,0.00
10314,F,NY,11554,115,19,9,68,304,372,5,0,0,0,0,2,1,2,0.00
10315,F,PA,19072,190,21,21,15,48,63,1,0,0,0,0,0,0,1,0.00
10316,M,NY,11234,112,19,15,29,34,63,2,0,0,0,1,0,0,1,0.00
10317,F,NY,13903,139,15,9,29,4,33,2,0,0,1,0,0,0,1,0.00
10318,M,NY,13215,132,51,17,119,37,156,10,1,0,2,2,2,2,1,0.00
10319,M,NY,11210,112,9,3,26,19,45,2,0,0,1,1,0,0,0,0.00
10320,F,NY,11372,113,25,1,138,58,196,12,3,2,2,1,0,0,4,0.00
10321,F,NJ,7930,79,7,7,15,161,176,1,0,0,1,0,0,0,0,0.00
