DAY,UNITS1,REGPR1,FEAT1,RATING1,UNITS2,REGPR2,FEAT2,RATING2,UNITS3,REGPR3,FEAT3,RATING3
71,746,1.08,0,4.3,317,0.95,0,3.7,1359,0.88,1,3.8
72,748,1.08,0,4.3,130,0.96,0,3.7,64,0.91,0,3.8
73,818,1.08,0,4.3,158,0.96,0,3.7,3693,0.89,1,3.8
74,846,1.08,0,4.3,196,0.95,0,3.7,49,0.9,0,3.8
75,752,1.08,0,4.3,255,0.95,0,3.7,1117,0.88,1,3.8
76,1375,0.99,1,4.2,244,0.94,0,3.7,19,0.89,0,3.8
77,821,1.01,0,4.2,379,0.93,0,3.7,30,0.97,0,3.8
78,1017,1.01,0,4.2,294,0.94,0,3.7,92,1.02,0,3.8
79,1345,1,1,4.2,224,0.94,0,3.7,24,1.04,0,3.8
80,1227,1.07,1,4.3,172,0.94,0,3.7,53,0.98,0,3.8
81,846,1.08,0,4.3,251,0.94,0,3.7,26,0.98,0,3.8
82,854,1.08,0,4.3,203,0.94,0,3.7,13,1.01,0,3.8
83,781,1.08,0,4.3,291,0.94,0,3.7,95,0.98,0,3.8
84,837,1.08,0,4.3,340,0.95,0,3.7,107,0.98,0,3.8
85,774,1.08,0,4.3,348,0.95,0,3.7,91,0.98,0,3.8
86,1329,1,1,4.3,120,0.96,0,3.7,4,0.98,0,3.8
87,858,1,0,4.3,232,0.95,0,3.7,70,0.98,0,3.8
88,909,1.08,0,4.3,281,0.96,0,3.7,892,0.88,1,3.6
89,877,1.08,0,4.3,184,0.97,0,3.7,237,0.89,0,3.6
90,707,1.09,0,4.3,248,0.98,0,3.7,51,0.98,0,3.6
91,800,1.14,0,4.3,267,1.03,0,3.7,59,1.01,0,3.6
92,838,1.14,0,4.3,283,1.03,0,3.7,26,1.01,0,3.6
93,774,1.14,0,4.3,204,1.02,0,3.7,17,1.02,0,3.6
94,837,1.15,0,4.3,336,1.04,0,3.7,40,0.99,0,3.6
95,832,1.14,0,4.3,305,1.05,0,3.7,214,1.01,0,3.6
96,1385,1.01,1,4.3,28,1.05,0,3.7,95,1,0,3.6
97,859,1.15,0,4.3,146,1.06,0,3.7,14,1,0,3.6
98,820,1.18,0,4.3,233,1.06,0,3.7,79,1.03,0,3.6
99,684,1.18,0,4.3,111,1.05,0,3.7,51,1.04,0,3.6
100,674,1.18,0,4.3,367,1.06,0,3.7,61,1.02,0,3.6
101,800,1.18,0,4.3,273,1.05,0,3.7,128,1.01,0,3.6
102,675,1.18,0,4.3,305,1.06,0,3.7,19,1.04,0,3.6
103,703,1.18,0,4.3,173,1.05,0,3.7,20,1.03,0,3.6
104,800,1.18,0,4.3,250,1.05,0,3.7,2299,0.8,1,3.6
105,750,1.18,0,4.3,356,1.06,0,3.7,239,0.79,0,3.6
106,828,1.18,0,4.3,289,1.06,0,3.7,109,0.84,0,3.6
107,678,1.18,0,4.3,315,1.06,0,3.7,43,1.03,0,3.6
108,1284,1.18,1,4.3,232,1.05,0,3.7,117,1.01,0,3.6
109,686,1.18,0,4.3,246,1.06,0,3.7,29,1.02,0,3.6
110,700,1.18,0,4.3,148,1.09,0,3.7,47,1.02,0,3.6
111,770,1.18,0,4.3,393,1.09,0,3.7,109,1.03,0,3.6
112,738,1.18,0,4.3,129,1.09,0,3.7,77,1.01,0,3.6
113,663,1.18,0,4.3,791,0.88,1,3.7,248,1.03,0,3.6
